[08:48:53]设备[ID107Plus HTR]F4:13:79:5A:08:80连接了.....
[08:50:30] 46 82 da 82 e3 cb 88 cb 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:30] 46 82 ea 82 ef cb 88 cc 69 68 8a 69 68 8a 69 68 8a 68 8a 46 
[08:50:30] 46 82 ed 82 e6 cb 88 cd 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:30] 46 82 d9 82 ca cb 88 ce 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:30] 46 82 ba 82 ae cb 88 cf 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:30] 46 82 a5 82 9f cb 88 d0 69 68 8a 69 68 8a 6a 68 8a 6a 68 8a 
[08:50:30] 46 82 9b 82 9a cb 88 d1 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:30] 46 82 9b 82 9e cb 88 d2 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:30] 46 82 a1 82 a6 cb 88 d3 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:31] 46 82 ab 82 b0 cb 88 d4 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:31] 46 82 b7 82 bd cb 88 d5 6a 68 8b 6a 68 8b 6a 68 8b 6a 68 8b 
[08:50:31] 46 82 c5 82 c6 cb 88 d6 6a 68 8b 6a 68 8b 6a 68 8b 6a 68 8b 
[08:50:31] 46 82 c3 82 b8 cb 88 d7 6a 68 8b 6a 68 8b 6a 68 8b 6a 68 8b 
[08:50:31] 46 82 aa 82 9a cb 88 d8 6a 68 8b 6a 68 8b 6a 68 8b 6a 68 8b 
[08:50:31] 46 82 8e 82 87 cb 88 d9 6a 68 8b 6a 68 8b 6a 68 8b 6a 68 8b 
[08:50:31] 46 82 82 82 7f cb 88 da 6a 68 8b 6a 68 8b 6a 68 8b 6a 68 8b 
[08:50:31] 46 82 7f 82 82 cb 88 db 6a 68 8b 69 68 8b 68 67 8c 68 8a 46 
[08:50:31] 46 82 8c 82 9a cb 88 dc 68 67 8c 68 67 8c 69 67 8c 6a 67 8c 
[08:50:31] 46 82 a8 82 b5 cb 88 dd 6a 67 8c 6a 68 8c 6a 68 8c 6a 68 8c 
